City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Rikitea,PF,25.28,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
Hermanus,ZA,24.89,clear sky,-34.4187,19.2345,Aloe guest house
Hilo,US,20.14,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
Castro,BR,20.89,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
Saldanha,ZA,25.03,few clouds,-33.0117,17.9442,Hoedjesbaai
Vaini,TO,25.09,light rain,-21.2,-175.2,Keleti International Resort
Georgetown,MY,27.96,few clouds,5.4112,100.3354,Page 63 hostel
Sorong,ID,27.14,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
Atuona,PF,25.39,overcast clouds,-9.8,-139.0333,Pearl Resort
Hithadhoo,MV,27.03,scattered clouds,-0.6,73.0833,Pebbles Inn
Geraldton,AU,22.23,clear sky,-28.7667,114.6,Ocean Centre Hotel
Padang,ID,25.03,light rain,-0.9492,100.3543,losmen Surya
Camopi,GF,24.31,overcast clouds,3.1655,-52.3158,Chez Lucia
Tocopilla,CL,22.65,clear sky,-22.092,-70.1979,hotel Isidora
Mackay,AU,22.6,light rain,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
Faanui,PF,24.68,moderate rain,-16.4833,-151.75,Oa Oa Lodge
Sibolga,ID,24.75,light rain,1.7427,98.7792,Hotel Prima Indah
Charlestown,AU,21.52,clear sky,-32.95,151.6667,Warners Bay Hotel
Saint-Philippe,RE,27.77,scattered clouds,-21.3585,55.7679,Le Baril
Mahebourg,MU,27.16,broken clouds,-20.4081,57.7,Grand Bel Air
Hambantota,LK,26.19,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
Aswan,EG,20.61,clear sky,24.0934,32.907,Yaseen hotel
Ovalle,CL,27.1,clear sky,-30.5983,-71.2003,Hotel Roxy
Senanga,ZM,25.61,scattered clouds,-16.1167,23.2667,Senanga Safari Lodge
