,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2023-01-10 21:47:10,-46.1927,168.8643,54.37,99,100,4.79
1,Kodiak,US,2023-01-10 21:47:11,57.79,-152.4072,35.11,100,75,0.0
2,Hilo,US,2023-01-10 21:47:12,19.7297,-155.09,88.29,61,100,9.22
3,Purranque,CL,2023-01-10 21:47:12,-40.9167,-73.1667,60.13,37,79,7.9
4,Saldanha,ZA,2023-01-10 21:47:12,-33.0117,17.9442,62.65,86,100,9.95
5,Hobart,AU,2023-01-10 21:44:33,-42.8794,147.3294,60.26,81,20,5.75
6,Caraballeda,VE,2023-01-10 21:47:14,10.6112,-66.8522,87.87,70,40,6.91
7,Castro,BR,2023-01-10 21:47:14,-24.7911,-50.0119,65.37,91,54,3.76
8,Hay River,CA,2023-01-10 21:47:15,60.8156,-115.7999,10.38,85,100,8.05
9,Carnarvon,AU,2023-01-10 21:47:15,-24.8667,113.6333,72.36,66,0,15.46
10,Kirakira,SB,2023-01-10 21:47:15,-10.4544,161.9205,79.27,85,100,4.56
11,Okha,RU,2023-01-10 21:47:16,53.5739,142.9478,-11.97,99,94,2.64
12,Busselton,AU,2023-01-10 21:47:16,-33.65,115.3333,59.02,80,6,6.06
13,Lima,PE,2023-01-10 21:45:27,-12.0432,-77.0282,73.65,64,0,11.5
14,New Norfolk,AU,2023-01-10 21:47:16,-42.7826,147.0587,59.92,52,96,2.46
15,Katsuura,JP,2023-01-10 21:47:17,35.1333,140.3,33.82,53,10,4.63
16,Bredasdorp,ZA,2023-01-10 21:47:17,-34.5322,20.0403,66.0,72,100,1.97
17,Syamzha,RU,2023-01-10 21:47:17,60.0158,41.0614,12.16,78,100,14.2
18,Langsa,ID,2023-01-10 21:47:18,4.4683,97.9683,72.19,92,100,2.01
19,Pisco,PE,2023-01-10 21:47:18,-13.7,-76.2167,77.05,65,0,5.75
20,Safaga,EG,2023-01-10 21:47:18,26.7292,33.9365,62.42,63,0,5.3
